City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Bathsheba,BB,2021-01-31 19:43:05,13.2167,-59.5167,82.4,61,40,25.32
169,Mabaruma,GY,2021-01-31 19:43:05,8.2,-59.7833,81.86,66,95,9.46
170,Tahta,EG,2021-01-31 19:43:05,26.7693,31.5021,59.0,51,0,9.22
171,Gat,IL,2021-01-31 19:41:04,31.61,34.7642,57.0,100,0,6.6
172,Torbay,CA,2021-01-31 19:43:06,47.6666,-52.7314,33.01,100,90,16.11
173,Port Elizabeth,ZA,2021-01-31 19:43:06,-33.918,25.5701,69.8,83,20,13.8
174,Ust-Kut,RU,2021-01-31 19:43:06,56.7938,105.7672,-36.9,78,73,1.9
175,Tambura,SS,2021-01-31 19:43:06,5.6,27.4667,76.05,29,0,3.49
176,Cape Coast,GH,2021-01-31 19:43:06,5.1053,-1.2466,80.46,83,100,15.79
177,Lompoc,US,2021-01-31 19:43:06,34.6391,-120.4579,57.99,66,1,4.61
178,Dabakala,CI,2021-01-31 19:43:06,8.3667,-4.4333,83.95,19,50,2.13
179,Norman Wells,CA,2021-01-31 19:43:06,65.282,-126.8329,-18.4,69,75,2.3
180,Barra Do Bugres,BR,2021-01-31 19:43:06,-15.0725,-57.1811,80.56,78,94,1.5
181,Ewa Beach,US,2021-01-31 19:38:26,21.3156,-158.0072,75.2,78,75,5.75
182,Kattivakkam,IN,2021-01-31 19:43:06,13.2167,80.3167,77.0,78,20,3.44
183,Salinas,US,2021-01-31 19:38:52,36.6777,-121.6555,59.0,71,1,11.5
184,Kizukuri,JP,2021-01-31 19:43:07,40.8061,140.3861,27.0,58,21,3.0
185,Milkovo,RU,2021-01-31 19:43:07,54.7167,158.6167,7.63,94,100,5.86
186,Oranjemund,NA,2021-01-31 19:43:07,-28.55,16.4333,64.83,86,2,7.65
187,San Roque,ES,2021-01-31 19:43:07,36.2107,-5.3842,62.6,67,40,25.32
188,Lida,BY,2021-01-31 19:43:07,53.8833,25.2997,25.25,97,97,11.95
189,Lorengau,PG,2021-01-31 19:43:07,-2.0226,147.2712,82.45,82,96,8.63
190,Saskylakh,RU,2021-01-31 19:43:07,71.9167,114.0833,-30.8,84,63,7.94
191,Pacific Grove,US,2021-01-31 19:43:07,36.6177,-121.9166,57.99,71,1,4.61
192,Esperance,AU,2021-01-31 19:43:07,-33.8667,121.9,57.2,94,26,5.75
193,Geraldton,AU,2021-01-31 19:43:07,-28.7667,114.6,68.0,77,0,5.75
194,Papara,BR,2021-01-31 19:43:07,-3.9839,-38.7273,86.0,70,20,17.27
195,Qaanaaq,GL,2021-01-31 19:43:07,77.484,-69.3632,-3.44,88,100,0.6
196,Manta,EC,2021-01-31 19:39:48,-0.95,-80.7333,80.6,78,75,9.22
197,Thap Than,TH,2021-01-31 19:43:08,15.4606,99.8917,73.99,84,0,1.25
198,Basoko,CD,2021-01-31 19:43:08,1.2391,23.616,77.7,57,95,2.17
199,Cherskiy,RU,2021-01-31 19:43:08,68.75,161.3,-20.97,80,92,5.12
200,Paamiut,GL,2021-01-31 19:43:08,61.994,-49.6678,23.65,91,0,13.87
201,Mareeba,AU,2021-01-31 19:43:08,-17.0,145.4333,75.2,88,49,10.36
202,Amapa,BR,2021-01-31 19:43:08,1.0,-52.0,78.28,93,61,4.03
203,Mahanje,TZ,2021-01-31 19:43:08,-9.9333,35.3333,66.67,96,100,2.93
204,Tuktoyaktuk,CA,2021-01-31 19:43:08,69.4541,-133.0374,-27.4,75,75,2.3
205,Uige,AO,2021-01-31 19:43:08,-7.6087,15.0613,68.07,94,80,0.96
206,Molchanovo,RU,2021-01-31 19:43:08,57.5817,83.7692,-15.52,88,100,5.35
207,Camacupa,AO,2021-01-31 19:43:09,-12.0167,17.4833,64.31,94,100,4.97
208,Willowmore,ZA,2021-01-31 19:43:09,-33.2926,23.4895,65.25,70,6,16.49
209,Oktyabrskiy,RU,2021-01-31 19:43:09,54.4815,53.471,26.2,92,100,20.76
210,Jalu,LY,2021-01-31 19:43:09,29.0331,21.5482,64.54,27,0,11.12
211,Moyo,UG,2021-01-31 19:43:09,3.6609,31.7247,78.37,26,91,2.21
212,Laguna,US,2021-01-31 19:43:09,38.421,-121.4238,63.0,47,1,9.22
213,Constitucion,CL,2021-01-31 19:43:09,-35.3333,-72.4167,64.49,70,16,9.64
214,Manavalakurichi,IN,2021-01-31 19:43:09,8.1333,77.3,84.2,70,40,6.98
215,Trelew,AR,2021-01-31 19:42:04,-43.249,-65.3051,85.82,17,60,17.18
216,Paita,PE,2021-01-31 19:43:09,-5.0892,-81.1144,86.0,62,0,13.8
217,Ongandjera,NA,2021-01-31 19:39:04,-17.8833,15.0667,77.05,45,100,11.41
218,Cabo San Lucas,MX,2021-01-31 19:43:09,22.8909,-109.9124,78.01,73,90,9.22
219,Nakusp,CA,2021-01-31 19:43:09,50.2499,-117.8023,34.0,93,100,1.14
220,Wladyslawowo,PL,2021-01-31 19:43:10,54.7909,18.4009,30.99,74,40,18.41
221,Tuy Hoa,VN,2021-01-31 19:43:10,13.0833,109.3,68.83,87,100,5.53
222,Ladario,BR,2021-01-31 19:43:10,-19.0047,-57.6017,87.8,66,40,8.05
223,Rajapolah,ID,2021-01-31 19:43:10,-7.221,108.1896,70.56,86,100,3.22
224,Bilibino,RU,2021-01-31 19:43:10,68.0546,166.4372,-15.0,82,100,7.11
225,Pembroke,CA,2021-01-31 19:39:00,45.8168,-77.1162,12.99,48,1,3.44
226,Port Hardy,CA,2021-01-31 19:43:10,50.6996,-127.4199,44.6,93,75,6.91
